game_id,nameOfGames,released_date,rating,summary
15,Batman: Return of the Joker,1991-12-20,62.27557,"Batman: Return of the Joker was developed and published by Sunsoft as the second in their Batman series on the Nintendo Entertainment System. It departed from the original game by focusing on the comic-book version of Batman instead of the movie-inspired conception. The story itself was self-contained, and did not depict a pre-existing storyline. The game is a side-scrolling platformer with beat 'em up features."
16,Batman: The Video Game,1989-12-22,73.24204,"Batman: The Video Game, is a group of platform games developed by Sunsoft for the Nintendo Entertainment System and Game Boy, loosely based on the 1989 film of the same name. Despite having the same title, each is actually a different game. The NES title is arguably the best known and contains five levels culminating in a final showdown with the Joker in the bell tower of Gotham Cathedral. It was received well despite changes from the movie upon which it was based.  Sunsoft later released Batman: Return of the Joker as a follow-up which is not related to any movie."
17,Batman: Arkham Origins Blackgate,2013-10-25,63.67616,"Batman: Arkham Origins Blackgate - Deluxe Edition amplifies the 2.5-D game developed by Armature Studio with new maps, enemy encounters, difficulty levels, and batsuits, all with enhanced visuals.  A companion game to Batman: Arkham Origins, players can continue the storyline of the console version and discover more details of the Dark Knight’s past."
18,Batman: The Enemy Within,2017-08-08,77.24438,"In this latest chapter, both Bruce Wayne and Batman will be forced into precarious new roles. The Riddler has returned to terrorize Gotham City, but his gruesome puzzles merely foreshadow an even greater crisis. With the arrival of a ruthless federal agent and the return of a still nascent Joker, Batman must navigate uneasy alliances while Bruce Wayne undertakes a perilous series of deceptions. Which of Batman's new allies will you choose to trust? And how deep into the darkness will you let Bruce descend?"
19,Batman: Arkham Asylum Game of the Year Edition,2010-03-26,86.17981,"Critically acclaimed Batman: Arkham Asylum returns with a remastered Game of the Year Edition, featuring 4 extra Challenge Maps. The additional Challenge Maps are Crime Alley; Scarecrow Nightmare; Totally Insane and Nocturnal Hunter (both from the Insane Night Map Pack). - Utilize the unique FreeFlow combat system to chain together unlimited combos seamlessly and battle with huge groups of The Joker’s henchmen in brutal melee brawls - Investigate as Batman, the WORLD’S GREATEST DETECTIVE, by solving intricate puzzles with the help of cutting edge forensic tools including x-ray scanning, fingerprint scans, ‘Amido Black’ spray and a pheromone tracker - Face off against Gotham’s greatest villains including The Joker, HARLEY QUINN, POISON IVY and KILLER CROC - Become the Invisible Predator with Batman’s fear takedowns and unique vantage point system to move without being seen and hunt enemies - Choose multiple takedown methods, including swooping from the sky and smashing through walls. - Explore every inch of Arkham Asylum and roam freely on the infamous island, presented for the first time ever in its gritty and realistic entirety - Experience what it’s like to be BATMAN using BATARANGS, explosive gel aerosol, The Batclaw, sonar resonator and the line launcher - Unlock more secrets by completing hidden challenges in the world and develop and customize equipment by earning experience points - Enjoy complete superhero freedom in the environment with the use of Batman’s grapnel gun to get to any place you can see, jump from any height and glide in any direction"
20,Batman Begins,2005-06-14,0,Game Boy Advance port of Batman Begins.
21,Batman Forever,1995-01-01,70,The Game Boy version of Batman Forever
22,Batman: The Enemy Within - Episode 1,2017-08-08,0,"In this latest chapter from the award-winning studio behind Batman - The Telltale Series, both Bruce Wayne and Batman will be forced into precarious new roles. The Riddler has returned to terrorize Gotham City, but his gruesome puzzles merely foreshadow an even greater crisis. With the arrival of a ruthless federal agent and the return of a still nascent Joker, Batman must navigate uneasy alliances while Bruce Wayne undertakes a perilous series of deceptions."
23,Batman: Arkham Origins Blackgate - Deluxe Edition,2014-04-01,63.67616,"Batman: Arkham Origins Blackgate - Deluxe Edition amplifies the 2.5-D game developed by Armature Studio with new maps, enemy encounters, difficulty levels, and batsuits, all with enhanced visuals.  A companion game to Batman: Arkham Origins, players can continue the storyline of the console version and discover more details of the Dark Knight’s past."
24,Superman Returns: The Videogame,2006-11-20,0,"Inspired by the Warner Bros. Pictures feature film and more than 60 years of DC Comics' lore. As the Man of Steel, you’ll hone your unworldly super powers such as Flight, X-Ray Vision, Heat Vision, Super Hearing, Super Strength, Super Speed, and Super Breath to fight villains that only Superman can defeat."
25,Superman: The New Adventures,1999-05-31,18.96022,"Superman: The New Adventures, often referred to as Superman 64, is a 1999 adventure video game developed and published by Titus Software for the Nintendo 64 video game console. The game is based on the television series Superman: The Animated Series. Superman was first released in North America on May 31, 1999 and in Europe on July 23, 1999."
26,Superman: Shadow of Apokolips,2002-09-25,65.86757,"Based on the Superman Animated Series, you play as Superman saving citizens in Metropolis and battling villains like Lex Luthor, Metallo, Livewire, Parasite and Darseid. It uses cel-shaded graphics and voice-actors from the tv series."
27,Superman: Countdown to Apokolips,2003-03-26,0,"Lois Lane has been kidnapped, and only the Man of Steel can save her! Agents from the lava-scarred planet Apokolips have come to Metropolis to humiliate Superman before the entire world, right in his own hometown. Enlisting the aid of local mob kingpin Bruno Mannheim, leader of the notorious Intergang, wicked emissary Kanto supplies the gang with out-of-this-world weaponry possessing the power to bring down Superman. While Superman is busy bringing the thugs of Intergang to justice, the beastlike Kalibak seizes the opportunity to abduct Lois and spirit her away to a remote, clandestine location. In the meantime, bad bundle of energy Livewire has busted out of Strykers Island Prison, and she is out for vengeance against the man who put her there--Superman. There is no rest for the Last Son of Krypton as the Countdown to Apokolips begins!"
28,Superman: The Mysterious Mr. Mist,1996-09-10,0,"A mysterious creature rises from the depths of the Earth to capture a new queen for his people, and he's got his eyes on Lois Lane. His evil powers allow him to transform into any human shape, causing total confusion. Will Superman save Lois from the cluthces of the Mysterious Mr. Mist? - Spectacular rare interactive CDROM multimedia comic book!"
29,Superman Returns: Fortress of Solitude,2006-11-20,0,"Inspired by the Warner Bros. Pictures feature film and more than 60 years of DC Comics' lore. As the Man of Steel, you’ll hone your unworldly super powers such as Flight, X-Ray Vision, Heat Vision, Super Hearing, Super Strength, Super Speed, and Super Breath to fight villains that only Superman can defeat."
30,Superman Game,2022-11-27,0,Superman is a video game released for home computers. The plot has Superman going after Darkseid.
31,Superman Activity Center,1998-01-01,0,"A children's edutainment game featuring various puzzles, and a completely new story mode to keep kids immersed in the world of Superman."
32,Spiderman,2019-09-24,0,Spiderman 2 for the Famicom is a hack of Ninja Gaiden III: The Ancient Ship of Doom which changes all appearances of Ryu into Spider-Man. The game removes all traces of Tecmo's name on it and starts on the 2nd level of the game.
33,Spider-Man (2002),2002-04-16,67.28194,"Spider-Man is an action-adventure game released in 2002 on the Xbox, Playstation 2, GameCube, Game Boy Advance and Microsoft Windows. Developped by Treyarch and published by Activision, the game has you playing as Spider-Man in the events of the movie while also adding new ennemies like the Shocker and Vulture. The gameplay consists of successive levels where you need to defeat thugs with your fists and web and save someone/something from multiple sources of danger until you reach the boss of the section. You either fight in enclosed environments or swing around New-York City in ""aerial"" sequences."
34,Call of Duty,2003-10-29,71.0509,"Call of Duty 3 delivers the intensity of World War II combat closer than ever. In this next-generation game, you'll experience the Normandy Breakout - the historic campaign that made the liberation of Paris possible and brought the Allies a step closer to Berlin.  Travel with four ordinary Allied soldiers (American, British, Canadian and Polish) as they're thrust onto an authentic, living battlefield for unprecedented combat, with advanced High-Definition graphics, detailed Character animations and explosive on-screen action. Call Of Duty 3 delivers the most immersive and cinematically intense war experience ever. Team-based Multiplayer with vehicles for team-based combat with up to 24 players battling it out online Play as an infantryman, or commandeer multiple-occupancy vehicles like tanks, jeeps & motorcycles"
35,Call of Duty: Vanguard,2021-11-05,62.60874,"This is WWII combat like never before. Witness the origins of Special Forces as you play a pivotal role and change the face of history, forming Task Force One in a gripping Campaign across four major theaters of war. Become an original Special Forces Operator in an online Multiplayer rich in innovation with 20 maps available at launch. Prepare for a franchise-first, universe-expanding Zombies crossover. Immerse yourself in a fully integrated Call of Duty: Warzone experience featuring a new and massive map. This is the most connected Call of Duty ever, all powered by the next generation Call of Duty engine introduced in Modern Warfare.  This is Call of Duty: Vanguard."
36,Call of Duty: Mobile,2019-10-01,65.81059,"The Call of Duty you know and love now on your mobile device. With classic multiplayer modes such as Team Deathmatch, Domination, and Kill-Confirmed on iconic maps such as Shipment, Raid, and Standoff, as well as 100 player Battle Royale, Call of Duty: Mobile has it all!"
37,Call of Duty: Warzone,2020-03-10,73.57935,"Welcome to Warzone, the new massive free-to-play combat arena from the world of Modern Warfare. Drop in, armor up, loot for rewards, and battle your way to the top."
38,Call of Duty: WWII,2017-11-03,74.95559,"Call of Duty: WWII creates the definitive World War II next generation experience across three different game modes: Campaign, Multiplayer, and Co-Operative. Featuring stunning visuals, the Campaign transports players to the European theater as they engage in an all-new Call of Duty story set in iconic World War II battles. Multiplayer marks a return to original, boots-on-the ground Call of Duty gameplay. Authentic weapons and traditional run-and-gun action immerse you in a vast array of World War II-themed locations. The Co-Operative mode unleashes a new and original story in a standalone game experience full of unexpected, adrenaline-pumping moments."
39,Call of Duty: Advanced Warfare,2014-11-03,71.90005,"Call of Duty: Advanced Warfare envisions the powerful battlegrounds of the future, where both technology and tactic have evolved to usher in a new era of combat for the franchise. Delivering a stunning performance, Academy Award winning actor Kevin Spacey stars as Jonathan Irons – one of the most powerful men in the world – shaping this chilling vision of the future of war."
40,Call of Duty: Warzone 2.0,2022-11-16,67.00169,Drop into the new map Al Mazrah in Call of Duty: Warzone 2.0
41,Call of Duty: Ghosts,2013-11-05,64.47145,"Call of Duty: Ghosts takes place following a catastrophic event that changed the global balance of powers in the world. As a result, the United States is no longer recognized as a superpower. Ten years after the event, an unseen enemy emerges as a threat, but the remnants of US special forces from every branch came together to create an elite group of soldiers known as the ""Ghosts"", who are determined to eradicate all threats to protect the weak and the remains of America."
42,Call of Duty: United Offensive,2004-09-14,81.05124,Award-winning developer Gray Matter Interactive follows up on the success of Infinity Ward's Call of Duty - winner of over 80 Game of the Year and 50 Editors' Choice awards worldwide - with Call of Duty: United Offensive.
43,Call of Duty: Black Ops,2010-11-09,79.572,"Call of Duty: Black Ops is the seventh main Call of Duty game and the sequel to Call of Duty: World at War. The game differs from most previous installments, which would involve a usual three-country campaign, while Call of Duty: Black Ops features two playable countries (Russia and the USA) but only has an American campaign. Several new features are also introduced, such as dive-to-prone and the available use of a flashlight on certain weapons. Furthermore, the campaign's playable characters now speak while being controlled by the player."
44,Call of Duty: Finest Hour,2004-11-16,63.02844,"Call Of Duty: Finest Hour leads you back into the World War, where you will experience epic battlefield moments in the war's most legendary conflicts. Fight alongside ordinary men who fought and died for freedom and changed the world."
45,Call of Duty: Infinite Warfare,2016-11-04,71.02168,"Call of Duty: Infinite Warfare delivers three unique game modes: Campaign, Multiplayer, and Zombies. Campaign is a return to the gritty, military roots of the franchise, while boldly looking ahead, delivering a rich and engaging narrative that is unlike anything to date in a Call of Duty game. The player will embark on a classically-styled story about grand scale warfare, set in a future where human conflict has spread throughout our solar system.  Multiplayer combines popular mechanics such as the chained-based movement system, with a load of gameplay innovations to deliver one of the deepest and most engaging online experiences in gaming. The new Zombies mode will thrill co-op players with an original, distinctive approach and an uproarious narrative sure to excite fans. The title introduces stunning, multi-planetary environments, new weaponry, and all-new player abilities."
46,Call of Duty: World at War,2008-11-11,75.60826,Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced. Players band together to survive the most harrowing and climactic battles that led to the demise of the Axis powers on the European and Pacific fronts.
47,Call of Duty: Modern Warfare Remastered,2016-10-05,78.75352,"One of the most critically-acclaimed games in history. Call of Duty 4: Modern Warfare is back, remastered in true high-definition, featuring enhanced textures, rendering, high-dynamic range lighting, and much more to bring a new generation experience to fans."
48,Call of Duty: Modern Warfare 3,2011-11-08,62.62116,"The game brings ""open combat, "" offering players more choices in approaching the single-player missions. Makarov returns as the chief villain of the new campaign.  The newly introduced Carry Forward system will let players keep their progression and inventory from Modern Warfare II. Multiplayer fans can expect 16 maps at the launch and at least 12 coming later. Zombies mode will also return and should offer the largest zombie map to date."
49,Call of Duty: Modern Warfare III,2023-11-09,62.62116,"The game brings ""open combat, "" offering players more choices in approaching the single-player missions. Makarov returns as the chief villain of the new campaign.  The newly introduced Carry Forward system will let players keep their progression and inventory from Modern Warfare II. Multiplayer fans can expect 16 maps at the launch and at least 12 coming later. Zombies mode will also return and should offer the largest zombie map to date."
50,Call of Duty: Black Ops Cold War,2020-11-13,72.33333,"The iconic Black Ops series is back with Call of Duty: Black Ops Cold War - the direct sequel to the original and fan-favorite Call of Duty: Black Ops. Black Ops Cold War will drop fans into the depths of the Cold War’s volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters and more.  Beyond the Campaign, players will bring a Cold War arsenal of weapons and equipment into the next generation of Multiplayer and Zombies experiences. Welcome to the brink. Welcome to Call of Duty: Black Ops Cold War."
51,Call of Duty: Modern Warfare II,2022-10-27,81.6789,"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline."
52,Call of Duty 4: Modern Warfare,2007-11-05,0,Call of Duty 4: Modern Warfare Mobile is a spin-off game of the Call of Duty series and is a prequel to the main game. The game was developed by GLU Mobile and published by Activision for mobile phones.
53,Call of Duty: Advanced Warfare - Gold Edition,2014-11-03,0,This Gold Edition includes the base game and two pieces of DLC also available separately. It contains:  - Call of Duty: Advanced Warfare (base game) - Call of Duty: Advanced Warfare - Atlas Gorge (DLC) - Call of Duty: Advanced Warfare - Havoc (DLC)
54,Naruto,2022-11-19,0,"Experience first-hand one of the most popular storylines from the NARUTO SHIPPUDEN arc as Naruto and Sasuke face off amidst a backdrop laced with intrigue and subterfuge! Discover, recruit, and swap fighters into your team to meet the needs of any given situation. Compete against your friends in Wireless Battle Mode for up to four players, or play cooperatively in the new Boss Rush Mode (local wireless only). Take part in thrilling battles and exciting mysteries, all leading up to the epic showdown between Naruto and Sasuke!"
55,NARUTO TO BORUTO: SHINOBI STRIKER,2018-08-30,0,Purchase Naruto to Boruto: Shinobi Striker - Deluxe Edition and get the most complete experience from Naruto to Boruto: Shinobi Striker! This edition includes the full game and all additional content eligible to the Season Pass.
56,Naruto: Ultimate Ninja 3,2008-03-25,73.99707,"NARUTO: Ultimate Ninja 3 makes leaps in the franchise with a host of “firsts” for the series. Players can now live through and be a part of all the major events that defined Story Arc 1 in Heroes History mode. Also, ninja-in-training can customize their characters with the Ultimate Jutsu which gives them that extra bit of edge during battle and allows them to earn points towards upgrading their strength, defense, chakra, agility and other special abilities. Turn playable characters into more powerful ninja of unprecedented size or summon giant creatures as allies with the new Summoning mode. In addition, NARUTO fans throughout North America can experience the game in both English and original Japanese voice over. In keeping with the tradition of the series, an exclusive and original story has players exploring the massive 3D rendered Hidden Leaf Village, participating in battle royale matches and completing more than 55 missions. The experience doesn’t stop there as tons of unlockable content are available to offer loads of replay value including movies, music and cards"
57,NARUTO: Ultimate Ninja Storm,2008-11-04,73.67383,"Evolving the head-to-head fighting action of the Ultimate Ninja series, NARUTO: Ultimate Ninja STORM allows players to battle in full 3D across massive environments. Players unleash powerful jutsu attacks, perform acrobatic evasive maneuvers and even run up walls and over water as they pursue their opponent for ninja supremacy. Players customize their character's fighting style and recruit up to two support characters to put their own stamp on the action. Each character in the game is capable of unleashing powerful Awakening abilities under certain gameplay conditions, offering new traits and talents to the game's ninja roster of 25 popular characters from the animated series. NARUTO: Ultimate Ninja STORM supports head-to-head multiplayer fighting for up to two players. Allowing players to further immerse themselves in the world of NARUTO, NARUTO: Ultimate Ninja STORM introduces all-new free-roaming exploration across the Hidden Leaf Village and the Forest of Death. Players can search every inch of these iconic environments to take on more than 100 unique missions, collect valuable scrolls and interact with additional characters from the NARUTO animated series. Injecting additional variety to the game's head-to head combat, these missions include races, special deliveries and large-scale battles against massive opponents."
58,Naruto: Ultimate Ninja 2,2007-06-12,69.90219,"""The ultimate ninja battle returns!  Battle the best in the land with intense, anime-style head-to-head ninja fighting with over 30 playable characters and 16 unique stages. Choose from more than 60 exciting missions, test your skills with challenging mini-games or play through the anime storyline - and even unlock an original story - in the all-new mode, Ultimate Road. Earn money and points to unlock tons of bonus content as you unleash your chakra and ascend the ranks on your way to becoming the greatest ninja of all!"""
59,Naruto Shippuden: Ultimate Ninja 4,2009-03-24,70.17121,Ultimate Ninja 4 takes place two and a half years after the end of the original Naruto series.
60,Naruto Shippuden: Ultimate Ninja 5,2009-11-27,70.09796,"This is the fifth installment in the Naruto: Ultimate Ninja series. The game continues the Naruto Shippūden storyline, and includes the first meeting between Sasuke and Naruto during this timeline."
61,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3,2013-03-05,75.05612,"Ultimate Ninja STORM 3 promises to unleash a tornado of ninja action and adventure that the franchise is known for, with over eighty playable characters, advanced online modes and enhanced fighting mechanics that allow anyone to become a ninja master."
62,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,2014-09-11,66.01169,"The latest instalment of the NARUTO SHIPPUDEN: Ultimate Ninja STORM series will offer players a new experience in the deep & rich NARUTO environment. Tons of new techniques, enhanced mechanics, over 100 playable characters & Support Ninjas, and a brand new exclusive character (Mecha-Naruto) designed by Masashi Kishimoto."
63,NARUTO SHIPPUDEN: Ultimate Ninja STORM Generations,2012-02-23,70.51999,"The title will power the series into the future by revolutionizing online play and ramping up the number of playable and support characters far beyond any NARUTO game in the wildly popular franchise. Players will compete in a variety of online battle modes with their favorite NARUTO characters, including Naruto and Sasuke. NARUTO fans have been waiting to see more of Zabuza and Haku since the launch of the original Manga, and now they will have their chance!"
64,Naruto Shippuden: Ultimate Ninja Storm 2,2010-10-15,74.68991,"Taking players through the Naruto Shippuden story arc, daring ninja warriors must strategically recruit the right support characters to ensure victory against any and all opponents. With the winning combination, players can easily unleash bigger and more explosive Team Special Techniques to obliterate enemies who stand in the way."
65,Naruto Shippuden Ultimate Ninja Storm Trilogy,2017-08-25,87,"Naruto Shippuden: Ultimate Ninja Storm Trilogy collects 3 Storm games in one collection. This series has established itself among the pinnacle of anime & manga adaptations of video games! This collection includes HD remasters of Naruto: Ultimate Ninja Storm, Naruto Shippuden: Ultimate Ninja Storm 2, and Naruto Shippuden: Ultimate Ninja Storm 3."
66,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2016-02-04,76.8656,"Experience the exhilarating full-adventure Naruto Shippuden and follow Naruto Uzumaki on all his fights.  With more than 12 million Naruto Shippuden Ultimate Ninja STORM games sold worldwide, this series established itself among the pinnacle of Anime & Manga adaptations on videogames! As every good story comes to an end Naruto Shippuden: Ultimate Ninja Storm 4 is going to be the ultimate STORM game! For the first time ever, a Naruto/Naruto Shippuden game will take advantage of the graphics power of the new generation of consoles."
67,Naruto The Broken Bond,2008-11-18,79.74663,"Building on the success of NARUTO: Rise of a Ninja, this new adventure takes the story to a deeper level within the Naruto Universe. Now a respected ninja, Naruto evolves into a mature and strong hero. However he will soon find himself surrounded by conflict. Forced to relive bitter memories, Naruto's best friend Sasuke strikes out on a self-destructive quest for power. Now with the help of his friends, Naruto must confront Sasuke and save him before it's too late."
68,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,2013-10-22,80.83372,"Naruto Shippuden: Ultimate Ninja Storm 3: Full Burst is the re-release of Naruto Shippuden: Ultimate Ninja Storm 3, which includes revamped visuals, all costumes previously available as, DLC minus the Naruto (Goku) and Sakura (Hello Kitty), a new character (Kabuto Yakushi sage mode), a new story chapter and a new Challenge Mode, which consists of 100 missions. Each mission has varying objectives that unlock various in-game items and HD illustrations. Also newly added is Decision Mode, which allows the player to choose one's fate; the player is given two options of fates to choose from. The player can choose from either Legend (hard) or Hero (easy).  Originally released in March 2013 on consoles to wide critical and fan acclaim, the most epic NARUTO game ever released has been given a thorough overhaul for its PC debut! Not least among the wealth of enhancements contained in NARUTO SHIPPUDEN Ultimate Ninja STORM 3 FULL BURST is the addition of the feverishly anticipated chapter in which Sasuke and Itachi take on Kabuto in a nail-biting confrontation."
69,Naruto Rise Of A Ninja,2007-10-30,79.36507,"Naruto: Rise of a Ninja is an Xbox 360-exclusive video game developed by Ubisoft Montreal, making it the first Naruto game to be developed by a non-Japanese company.  A sequel titled Naruto: The Broken Bond was released in fall a year later."
70,Naruto Shippuden: Naruto VS. Sasuke,2008-07-04,0,"Experience first-hand one of the most popular storylines from the NARUTO SHIPPUDEN arc as Naruto and Sasuke face off amidst a backdrop laced with intrigue and subterfuge! Discover, recruit, and swap fighters into your team to meet the needs of any given situation. Compete against your friends in Wireless Battle Mode for up to four players, or play cooperatively in the new Boss Rush Mode (local wireless only). Take part in thrilling battles and exciting mysteries, all leading up to the epic showdown between Naruto and Sasuke!"
71,Naruto x Boruto: Ultimate Ninja Storm Connections,2023-11-17,0,"The next exciting entry in the STORM series, celebrating the 20th anniversary of Naruto's anime debut, releases 2023! The game features new playable characters in addition to the 124 ninjas from past series! Plus, it connects key moments from the first four STORM entries into one game for the first time."
72,Tekken Arena,2014-12-12,0,Tekken Arena is a free-to-play strategy game for Android and iOs
73,Tekken 5,2004-12-09,81.07779,"After the death of Heihachi Mishima, the fifth King of Iron Fist Tournament began. Tekken 5 lets you join this battle as one of many characters, including three fighters who are new to the Tekken series. This time, the environments feature destructible objects and dangerous obstacles. Customize your character with a variety of accessories, such as beanies, glasses, and costumes. Beat the game with each character to learn his or her story."
74,Tekken 5: Dark Resurrection,2006-07-06,80.37724,"The hugely popular arcade and console fighting game, Tekken 5: Dark Resurrection is now available with an all-new ONLINE BATTLE feature! Take on other players from around the country, in full HD running at a smooth 60 frames per second! Prove who the real King of the Iron Fist Tournament is by checking the online rankings. Experience the pinnacle of fighting games as Tekken reaches into the ""Online Vs."" world for the first time ever!"
75,Tekken Tag Tournament 2,2012-09-11,74.23642,"A highly competitive fighting game where you can choose from 60 different characters. Some new and most old, still making the game of the franchise the most character-rich of them all so far."
76,Tekken 3,1997-03-20,84.67866,"Tekken 3 maintains the same core fighting system and concept as its predecessors, but brings many improvements, such as significantly more detailed graphics and animations, fifteen new characters added to the game's roster, more modern music and faster and more fluid gameplay. Perhaps the most noticeable change from Tekken 2 fight system is movement reform - whereas the element of depth had been largely insignificant in previous Tekken games (aside from some characters having unique sidesteps and dodging maneuvers), Tekken 3 added emphasis on the third axis, allowing all characters to sidestep in or out of the background by lightly pressing the arcade stick (or tapping the controller button in the console version) towards the corresponding direction. Another big change in movement was that jumping was toned down, no longer allowing fighters to jump to extreme heights (as was present in previous games), but keeping leaps to reasonable, realistic heights. It made air combat more controllable, and put more use to sidestep dodges, as jumping no longer became a universal dodge move that was flying above all of the ground moves. Other than that, the improved engine allowed for quick recoveries from knock-downs, more escapes from tackles and stuns, better juggling (as many old moves had changed parameters, allowing them to connect in combo-situations, where they wouldn't connect in previous games) and extra newly created combo throws.  Tekken 3 was the first Tekken to feature a beat 'em up minigame called ""Tekken Force"", which pitted the player in various stages against enemies in a side-scrolling fashion. If the player succeeds in beating the minigame four times, Dr. Bosconovitch would be a playable character (granted that you defeat him first). This was continued in Tekken 4 and succeeded by the Devil Within minigame in Tekken 5 - but Boskonovitch was dropped as a playable character after Tekken 3. There is also a minigame ""Tekken Ball"", similar to beach volleyball, where one has to hit the ball with a powerful attack to hurt the opponent or try to hit the ball in such a way that it hits the ground in the opponent's area, thus causing damage."
77,TEKKEN 7,2015-03-18,0,"The classic mini bowling game from Tekken Tag Tournament is returning back as ""Ultimate TEKKEN BOWL"" DLC! On top of that, more customizable costumes such as Blood Vengeance outfits, swimsuits, and Idolmaster costumes have been added!"
78,Tekken Revolution,2013-06-11,65.91763,"One of the best-selling franchises of all time is now available for FREE! Jump on as one of your favorite characters and pummel your way to victory! For the first time in the franchise, level up your characters! Break through walls, break through the floor, and ultimately break your opponent."
79,Tekken 4,2001-09-23,74.43769,"Tekken 4 marks the return of Namco's premier fighting franchise, Tekken. This version features enhanced graphics, gameplay mechanics, and fearsome fighters. Newcomers engage old favorites in interactive, multileveled arenas. The addition of walls, terrain effects, position changes, and enhanced sidestepping will force you to adjust your fighting strategy. Expanded game modes such as Training, Team Battle and the new Tekken Force provide the player with a deeper gameplay experience."
80,TEKKEN 6,2007-10-27,0,Tekken 6 is a fighting game developed and published by Bandai Namco Games. It is the seventh main installment in the Tekken franchise.
81,Tekken Tag Tournament,2000-03-30,74.23642,"A highly competitive fighting game where you can choose from 60 different characters. Some new and most old, still making the game of the franchise the most character-rich of them all so far."
82,Tekken 8,2024-01-26,0,The Tekken series is breaking into a new era! The longest-running story in a video game franchise is coming back with state-of-the-art graphics and powerful new rivalries. Stay tuned for Tekken 8!
83,Tekken Mobile,2017-08-18,74.39176,"TEKKEN, the world's most successful fighting game franchise has been brought to mobile! Join PAUL, KAZUYA, XIAOYU, LAW, PANDA, NINA & all other famous fighters to engage in an intuitive, deep combat system featuring fighting techniques from all around the world. Take on the role of the Dojo Master, collecting, upgrading and battling with your favourite fighters from the legendary TEKKEN franchise!"
